experiment_id,timestamp,experiment_name,test_kasia_TP,test_kasia_FN,test_kuba_TP,test_kuba_FN,test_marcin_TP,test_marcin_FN,test_sylwia_TP,test_sylwia_FN,val_kasia_TP,val_kasia_FN,val_kuba_TP,val_kuba_FN,val_marcin_TP,val_marcin_FN,val_sylwia_TP,val_sylwia_FN,notes
266,2025-12-11_15-06-53,resnet_trial_222_32_drop_0.5_sgd_lr_0.01_mom09_wd_0.0001_sch_step_lr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267,2025-12-11_15-09-45,resnet_trial_222_32_drop_0.5_sgd_lr_0.01_mom09_wd_0.0001_sch_step_lr,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,
268,2025-12-11_15-11-18,resnet_trial_222_32_drop_0.5_sgd_lr_0.01_mom09_wd_0.0001_sch_step_lr,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,
269,2025-12-11_15-13-16,resnet_trial_222_32_drop_0.5_sgd_lr_0.01_mom09_wd_0.0001_sch_step_lr,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,
270,2025-12-11_15-17-51,resnet_trial_222_32_drop_0.5_sgd_lr_0.01_mom09_wd_0.0001_sch_step_lr,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,
271,2025-12-11_15-22-38,resnet_trial_222_32_drop_0.5_sgd_lr_0.01_mom09_wd_0.0001_sch_step_lr,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,
273,2025-12-11_16-48-33,resnet_trial_222_32_drop_0.5_sgd_lr_0.01_mom09_wd_0.0001_sch_step_lr,22,35,35,2,25,17,13,28,20,16,33,0,20,15,5,18,
274,2025-12-11_16-57-39,resnet_trial_222_32_drop_0.5_sgd_lr_0.01_mom095_wd_0.0001_no_sch,0.5102,0.4898,0.75,0.25,0.7021,0.2979,0.3125,0.6875,0.7273,0.2727,1.0,0.0,0.6667,0.3333,0.2,0.8,
275,2025-12-11_17-02-24,resnet_trial_222_32_drop_0.5_sgd_lr_0.001_mom09_wd_0.0001_no_sch,0.4211,0.5789,0.9138,0.0862,0.6667,0.3333,0.0833,0.9167,0.4474,0.5526,0.9412,0.0588,0.4667,0.5333,0.0625,0.9375,
276,2025-12-11_17-05-01,resnet_trial_222_32_drop_0.5_sgd_lr_0.001_mom09_wd_0.0001_no_sch,0.4737,0.5263,0.8378,0.1622,0.4667,0.5333,0.1143,0.8857,0.25,0.75,0.5789,0.4211,0.6071,0.3929,0.0526,0.9474,
277,2025-12-11_17-07-30,resnet_trial_222_32_drop_0.5_sgd_lr_0.001_mom09_wd_0.0001_no_sch,0.6226,0.3774,0.9592,0.0408,0.5116,0.4884,0.4333,0.5667,0.2632,0.7368,0.95,0.05,0.6129,0.3871,0.2632,0.7368,
278,2025-12-11_17-10-08,resnet_trial_222_32_drop_0.5_sgd_lr_0.001_mom09_wd_0.0001_no_sch,0.5882,0.4118,0.8704,0.1296,0.973,0.027,0.375,0.625,0.3243,0.6757,0.9412,0.0588,0.8065,0.1935,0.2258,0.7742,
279,2025-12-11_17-14-39,resnet_trial_222_32_drop_0.5_sgd_lr_0.001_mom09_wd_0.0001_no_sch,0.3542,0.6458,0.9636,0.0364,0.5094,0.4906,0.0541,0.9459,0.6389,0.3611,0.9143,0.0857,0.6,0.4,0.2273,0.7727,
280,2025-12-13_00-15-49,resnet_trial_222_32_drop_0.5_sgd_lr_0.001_mom09_wd_0.0001_no_sch,0.5,0.5,0.9821,0.0179,0.69,0.31,0.1429,0.8571,0.5833,0.4167,0.8378,0.1622,0.6346,0.3654,0.6667,0.3333,
281,2025-12-13_00-31-51,resnet_trial_222_32_drop_0.5_sgd_lr_0.001_mom09_wd_0.0001_no_sch,0.0734,0.9266,0.972,0.028,0.7455,0.2545,0.0471,0.9529,0.6316,0.3684,0.9783,0.0217,0.881,0.119,0.3864,0.6136,
282,2025-12-13_00-47-06,resnet_trial_222_32_drop_0.5_sgd_lr_0.001_mom09_wd_0.0001_no_sch,0.3772,0.6228,0.8696,0.1304,0.7912,0.2088,0.1507,0.8493,0.2857,0.7143,0.7963,0.2037,0.6296,0.3704,0.375,0.625,
